created_at,amount,count,open,close,low,high,vol
20191118173000,157.739238,2114.000000,8466.000000,8468.030000,8458.580000,8468.880000,1335109.759830
20191118174500,123.028003,1810.000000,8468.040000,8478.900000,8463.880000,8479.000000,1042123.591530
20191118180000,178.160864,2443.000000,8478.960000,8461.240000,8455.550000,8479.000000,1508813.492160
20191118181500,87.802211,2103.000000,8461.240000,8457.740000,8455.000000,8462.370000,742769.563756
20191118183000,110.060750,2358.000000,8457.870000,8465.410000,8454.990000,8468.900000,931242.356534
20191118184500,155.153680,2248.000000,8465.420000,8456.940000,8452.070000,8467.810000,1313219.300680
20191118190000,204.069259,3090.000000,8456.940000,8458.770000,8445.320000,8465.500000,1725810.108380
20191118191500,303.683311,3416.000000,8458.190000,8445.180000,8443.000000,8458.800000,2566318.093530
20191118193000,466.673172,3961.000000,8444.680000,8441.430000,8430.000000,8452.500000,3940060.792450
20191118194500,227.971793,3141.000000,8441.420000,8443.620000,8425.000000,8444.940000,1923481.718240
20191118200000,1507.397837,10040.000000,8443.470000,8421.670000,8372.000000,8444.520000,12672147.961600
20191118201500,519.351959,4548.000000,8421.550000,8412.110000,8405.020000,8433.600000,4372063.108320
20191118203000,163.261255,2827.000000,8412.080000,8424.260000,8412.000000,8433.700000,1375284.047700
20191118204500,106.757572,2219.000000,8424.260000,8415.550000,8415.540000,8426.960000,898991.725222
20191118210000,372.684635,2989.000000,8415.550000,8423.680000,8404.110000,8425.000000,3136972.802510
20191118211500,222.592724,2693.000000,8423.420000,8428.060000,8423.150000,8444.990000,1877151.270180
20191118213000,269.640111,2696.000000,8427.720000,8444.920000,8425.200000,8452.770000,2275630.042200
20191118214500,298.746449,3204.000000,8445.020000,8446.000000,8441.580000,8465.090000,2524608.556980
20191118220000,323.937777,2524.000000,8446.050000,8453.340000,8443.680000,8458.380000,2737162.716070
20191118221500,272.059785,2589.000000,8453.340000,8440.880000,8440.100000,8462.570000,2299359.753890
20191118223000,145.484454,1825.000000,8440.780000,8451.240000,8440.000000,8453.480000,1228835.817950
20191118224500,177.502938,1638.000000,8450.600000,8440.690000,8440.320000,8453.060000,1499077.004160
20191118230000,300.630721,2735.000000,8440.690000,8425.990000,8422.020000,8440.790000,2535224.207680
20191118231500,196.300428,2408.000000,8425.650000,8432.640000,8425.000000,8442.650000,1655415.675650
20191118233000,330.375510,2850.000000,8432.650000,8421.000000,8421.000000,8433.180000,2783577.644290
20191118234500,502.535628,5284.000000,8421.000000,8409.200000,8400.260000,8425.000000,4228393.192570
20191119000000,329.142044,3215.000000,8409.190000,8414.560000,8405.900000,8420.000000,2768661.077330
20191119001500,214.144764,1689.000000,8414.610000,8423.400000,8410.610000,8429.270000,1803718.162680
20191119003000,174.056709,1604.000000,8423.450000,8427.290000,8419.320000,8432.850000,1466352.139990
20191119004500,92.776416,986.000000,8427.250000,8414.660000,8412.900000,8430.850000,781319.458959
20191119010000,599.220840,3962.000000,8413.840000,8388.460000,8375.010000,8414.800000,5028084.354030
20191119011500,2022.170220,10719.000000,8389.550000,8347.480000,8298.000000,8391.950000,16861081.038600
20191119013000,463.786765,3857.000000,8347.480000,8349.630000,8326.410000,8362.960000,3872021.091030
20191119014500,265.823179,2339.000000,8349.900000,8341.750000,8332.110000,8354.580000,2217704.060090
20191119020000,400.942237,3487.000000,8341.750000,8313.010000,8300.000000,8345.820000,3336865.920800
20191119021500,3232.471216,18815.000000,8311.800000,8170.710000,8150.000000,8316.710000,26612121.247700
20191119023000,3846.248553,24467.000000,8175.190000,8156.000000,8060.000000,8180.240000,31270715.574300
20191119024500,1030.328762,7941.000000,8156.000000,8213.960000,8152.730000,8224.170000,8441047.733530
20191119030000,471.718066,4443.000000,8213.900000,8206.950000,8181.250000,8213.900000,3866261.900400
20191119031500,279.457567,3224.000000,8207.500000,8202.840000,8185.480000,8212.240000,2291335.468370
20191119033000,443.760939,3089.000000,8204.750000,8232.590000,8203.830000,8243.960000,3652154.131700
